pojazd_id,marka,kategoria,typ,model,wariant,wersja,rodzaj,podrodzaj,przeznaczenie,pochodzenie,rodzaj_tab_znamionowej,rok_produkcji,sposob_produkcji,data_pierwszej_rej,data_rejestracji_ost,data_pierwszej_rej_za_granica,pojemnosc_silnika,moc_do_masy,moc_silnika,moc_silnika_hybrydowego,masa_wlasna,masa_pgj,dopuszczalna_masa_calkowita,maksymalna_masa_calkowita,dopuszczalna_ladownosc_calk,maksymalna_ladownosc_calk,dopuszczalna_masa_ciag_zesp,liczba_osi,naj_dopuszczalny_nacisk_osi,naj_maksymalny_nacisk_osi,max_masa_przyczepy_z_hamulcem,max_masa_przyczepy_bez_ham,liczba_miejsc_ogolem,liczba_miejsc_siedzacych,liczba_miejsc_stojacych,rodzaj_paliwa,rodzaj_paliwa_alternatywnego,rodzaj_paliwa_alternatywnego2,sr_zuzycie_pal,rodzaj_zawieszenia,radar,hak,kierownica_polozenie,kierownica_z_prawej,katalizator,producent_podstawowy,kod_ident,rozstaw_osi_kierowanej,rozstaw_kol_max,rozstaw_kol_sred,rozstaw_kol_min,emisja_co2_redukcja,wersja_rpp,kod_rpp,data_wyrejestrowania,przyczyna_wyrejestrowania,data_wprowadzenia_danych,akt_miejsce_rej_wojwe,akt_miejsce_rej_powiat,akt_miejsce_rej_gmina,siedziba_wlasciciela_woj,siedziba_wlasciciela_pow,siedziba_wlasciciela_gmina,data_pierwszej_rej_w_kraju,createtimestamp,modifytimestamp,siedziba_wlasciciela_woj_teryt,akt_miejsce_rej_wojew_teryt,emisja_co2,emisja_co2_pal_alternatywne1
3663573169270073,VOLTA,2.0,XLS11-FM,XLS11-FM,60V1500W,---,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018.0,FABRYCZNY,2018-08-07,2018-08-07,,,0.0155,1.5,,97.0,,247.0,,,,,2.0,,,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,"WUXI JIETONG AUTOCYCLE CO., LTD.",75710001000001.0,,,,,,9.0,1.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2018-08-07,2019-03-15,2019-03-15,,14,,
452572290096922,SLANE,2.0,XLS11-FM,XLS11-FM,60V1500W,---,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2017.0,FABRYCZNY,2018-03-28,2018-03-28,,,0.0155,1.5,,97.0,,247.0,,,,,2.0,,,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,,72010001000001.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,WARSZAWA,BEMOWO,,,,2018-03-28,2019-03-15,2019-03-15,,14,,
165042153942310,NISSAN,13.0,ZE0,LEAF,A,A03,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ZASTĘPCZA,2017.0,FABRYCZNY,2018-01-10,2018-01-10,,,,80.0,,1450.0,,1970.0,1970.0,,,,2.0,,,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,NISSAN INTERNATIONAL S.A.,2640144000005.0,,1540.0,1537.0,1535.0,,1.0,306000.0,,,,MAZOWIECKIE,WARSZAWA,REMBERTÓW,,,,2018-01-10,2019-03-15,2019-03-15,,14,,
17612847658537,JELCZ,,,SM 94,,,SAMOCHÓD CIĘŻAROWY,INNY,WYWÓZ ŚMIECI,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1983.0,FABRYCZNY,1983-06-03,2001-11-26,,11100.0,,,,0.0,,15900.0,,8000.0,,,2.0,100.0,100.0,,,3.0,3.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,,B,,,,,,,,,,,,,MAZOWIECKIE,NOWODWORSKI,NOWY DWÓR MAZOWIECKI,MAZOWIECKIE,NOWODWORSKI,LEONCIN,1983-06-03,2019-03-15,2019-03-15,14.0,14,,
22962785400048,TESLA,,---,MODEL S 90 D,---,---,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. IMPORT INDYW,ORYGINALNA,2016.0,FABRYCZNY,2016-06-23,2017-09-07,2016-06-23,,,386.0,,2223.0,,2640.0,2640.0,,,,2.0,14.0,14.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,,N,,59690002000000.0,,,,,,9.0,3.0,2018-09-04,WYWOZU POJAZDU Z KRAJU   ,2018-09-04,MAZOWIECKIE,WARSZAWA,PRAGA-POŁUDNIE,,,,2017-09-07,2019-03-15,2019-03-15,,14,,
28286380561510,XINRI,,,EM,,,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2013.0,FABRYCZNY,2014-04-11,2014-04-11,,,0.0128,1.2,,94.0,,169.0,,75.0,,,2.0,1.0,1.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,,N,,,,,,,,,,,,,MAZOWIECKIE,PRUSZKOWSKI,PRUSZKÓW,MAZOWIECKIE,PRUSZKOWSKI,RASZYN,2014-04-11,2019-03-15,2019-03-15,14.0,14,,
362709561090153,SLANE,2.0,XLS11-FM,XLS11-FM,60V1500W,---,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2017.0,FABRYCZNY,2018-03-15,2018-03-15,,,0.0155,1.5,,97.0,,247.0,,,,,2.0,,,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,N,,72010001000001.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,PRUSZKOWSKI,PRUSZKÓW,,,,2018-03-15,2019-03-15,2019-03-15,,14,,
66319032213316,RUNUNION,,---,QUAND PIETREK,---,---,MOTOROWER,---,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,2006.0,FABRYCZNY,2006-08-07,2015-07-15,,50.0,0.0057,0.5,,87.0,,162.0,0.0,,,,2.0,1.0,1.0,0.0,0.0,1.0,1.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,,N,,36200000000000.0,,,,,,9.0,1.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,MAZOWIECKIE,WARSZAWA,WARSZAWA,2006-08-07,2019-03-15,2019-03-15,14.0,14,,
9434403699858,SLANE,2.0,XLS11-FM,XLS11-FM,60V1500W,---,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2017,FABRYCZNY,2017-09-21,2017-09-25,,,0.0155,1.5,,97.0,,247.0,,,,,2.0,2.0,2.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,,N,,72010001000001.0,,,,,,1.0,100000.0,,,,MAZOWIECKIE,WARSZAWA,BEMOWO,MAZOWIECKIE,WARSZAWA,BEMOWO,2017-09-21,2019-03-15,2019-03-15,14.0,14,,
8145783323266836,BMW I,13.0,BMWI-1,I3,7Z21,0AW40000,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2019-03-27,2019-03-27,,,,125.0,,1245.0,,1670.0,1670.0,,,,2.0,9.0,9.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,BAYERISCHE MOTOREN WERKE AG,71470000000026.0,,1576.0,1573.0,1571.0,,1.0,301000.0,,,,MAZOWIECKIE,WARSZAWA,MOKOTÓW,,,,2019-03-27,2019-04-08,2019-04-08,,14,,
