pojazd_id,marka,kategoria,typ,model,wariant,wersja,rodzaj,podrodzaj,przeznaczenie,pochodzenie,rodzaj_tab_znamionowej,rok_produkcji,sposob_produkcji,data_pierwszej_rej,data_rejestracji_ost,data_pierwszej_rej_za_granica,pojemnosc_silnika,moc_do_masy,moc_silnika,moc_silnika_hybrydowego,masa_wlasna,masa_pgj,dopuszczalna_masa_calkowita,maksymalna_masa_calkowita,dopuszczalna_ladownosc_calk,maksymalna_ladownosc_calk,dopuszczalna_masa_ciag_zesp,liczba_osi,naj_dopuszczalny_nacisk_osi,naj_maksymalny_nacisk_osi,max_masa_przyczepy_z_hamulcem,max_masa_przyczepy_bez_ham,liczba_miejsc_ogolem,liczba_miejsc_siedzacych,liczba_miejsc_stojacych,rodzaj_paliwa,rodzaj_paliwa_alternatywnego,rodzaj_paliwa_alternatywnego2,sr_zuzycie_pal,rodzaj_zawieszenia,radar,hak,kierownica_polozenie,kierownica_z_prawej,katalizator,producent_podstawowy,kod_ident,rozstaw_osi_kierowanej,rozstaw_kol_max,rozstaw_kol_sred,rozstaw_kol_min,emisja_co2_redukcja,wersja_rpp,kod_rpp,data_wyrejestrowania,przyczyna_wyrejestrowania,data_wprowadzenia_danych,akt_miejsce_rej_wojwe,akt_miejsce_rej_powiat,akt_miejsce_rej_gmina,siedziba_wlasciciela_woj,siedziba_wlasciciela_pow,siedziba_wlasciciela_gmina,data_pierwszej_rej_w_kraju,createtimestamp,modifytimestamp,siedziba_wlasciciela_woj_teryt,akt_miejsce_rej_wojew_teryt,emisja_co2,emisja_co2_pal_alternatywne1
7056724326595785,JAGUAR,13.0,DH,I-PACE,A,502,SAMOCHÓD OSOBOWY,KOMBI,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2018-07-24,2019-01-21,,,,294.0,,2214,,2670.0,2670.0,,,,2.0,,,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,JAGUAR LAND ROVER LIMITED,2480099000001.0,,1641.0,1661.0,2990.0,,1.0,303000.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2018-07-24,2019-03-15,2019-03-15,,2,,
5901929815574020,TESLA,11111111.0,---,MODEL S,---,---,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. IMPORT INDYW,ORYGINALNA,2015,FABRYCZNY,2015-05-12,2018-07-13,2015-05-12,,,543.0,,2262,,2670.0,2670.0,,,,2.0,,,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,N,N,,59690004000000.0,,,,,,9.0,3.0,,,,DOLNOŚLĄSKIE,LUBIŃSKI,LUBIN,,,,2018-06-27,2019-03-15,2019-03-15,,2,,
1769629018573166,JAGUAR,13.0,DH,I-PACE,A,502,SAMOCHÓD OSOBOWY,KOMBI,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2019,FABRYCZNY,2019-06-25,2019-07-08,,,,294.0,,2133,,2670.0,2670.0,,,3420.0,2.0,14.0,14.0,750.0,750.0,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,B,JAGUAR LAND ROVER LIMITED,2480099000003.0,,1661.0,1651.0,1641.0,,1.0,303000.0,,,,DOLNOŚLĄSKIE,xxxxxxxxx,xxxxxxxxx,,xxxxxxxxx,xxxxxxxxx,2019-06-25,2019-07-09,2019-10-01,,2,,
22508386170373,CITROEN,,---,SAXO,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,1999,FABRYCZNY,1999-11-25,2016-02-22,1999-11-25,,,20.0,,1105,,1420.0,1420.0,,,,2.0,8.0,8.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,,N,,,N,,2350004000000.0,,,,,,9.0,3.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW,2016-02-22,2019-03-15,2019-03-15,2.0,2,,
3701957051325365,NISSAN,13.0,ZE1,LEAF,A,A02,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2018,FABRYCZNY,2018-12-20,2018-12-20,,,,110.0,,1505,,1995.0,1995.0,,,1995.0,2.0,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,N,,N,N,NISSAN INTERNATIONAL S.A.,2640144000012.0,,1530.0,1545.0,2700.0,,1.0,306000.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2018-12-20,2019-03-15,2019-03-15,,2,,
29714974123895,RENAULT,13.0,LZ,FLUENCE Z.E.,LZBZ,LZBZ0L,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2012,FABRYCZNY,2012-06-12,2018-02-27,,,,50.0,,1594,,2023.0,2023.0,,,,2.0,12.0,12.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,0.0,,1282.0,N,,,T,RENAULT S.A.S.,2260385000127.0,,1563.0,1554.0,1545.0,,1.0,301000.0,,,,DOLNOŚLĄSKIE,LUBAŃSKI,LUBAŃ,,,,2012-06-12,2019-03-15,2019-03-15,,2,,
69396057961349,RENAULT,,,R 19 1.9D,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1993,FABRYCZNY,1994-02-16,1999-09-30,,1857.0,,,,1005,,1480.0,,,,,,8.0,8.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,OLEŚNICKI,OLEŚNICA,DOLNOŚLĄSKIE,OLEŚNICKI,MIĘDZYBÓRZ,1994-02-16,2019-03-15,2019-03-15,2.0,2,,
50666240126625,AUDI,,,80,,,SAMOCHÓD OSOBOWY,INNY,---,NOWY ZAKUPIONY W KRAJU,NIEOKRESLONA,1979,FABRYCZNY,1991-06-03,2004-04-29,,1600.0,,0.0,,0,,1490.0,,0.0,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,LWÓWECKI,LWÓWEK ŚLĄSKI,DOLNOŚLĄSKIE,LWÓWECKI,LUBOMIERZ,1991-06-03,2019-03-15,2019-03-15,2.0,2,,
5750271684498612,TESLA,13.0,002,MODEL X,100X,B20B7T,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,---,NOWY IMPORT INDYW,ORYGINALNA,2018,FABRYCZNY,2018-11-23,2018-11-23,,,,386.0,,2533,,3079.0,3079.0,,,5329.0,2.0,18.0,18.0,2250.0,750.0,7.0,7.0,,ENERGIA ELEKTRYCZNA,,,,,1282.0,T,,N,N,,59690003000013.0,,1710.0,1707.0,1705.0,,1.0,306000.0,,,,DOLNOŚLĄSKIE,WROCŁAW,WROCŁAW-STARE MIASTO,,,,2018-11-23,2019-03-15,2019-03-15,,2,,
56798762794894,MERCEDES,,,220 D,,,SAMOCHÓD OSOBOWY,FURGON,---,UŻYW. ZAKUPIONY W KRAJU,NIEOKRESLONA,1974,FABRYCZNY,1970-01-01,1999-09-28,,2197.0,,,,1550,,1950.0,,,,,,10.0,10.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,B,,,B,,,,,,,,,,,,,DOLNOŚLĄSKIE,STRZELIŃSKI,STRZELIN,DOLNOŚLĄSKIE,STRZELIŃSKI,PRZEWORNO,1970-01-01,2019-03-15,2019-03-15,2.0,2,,
